date,event,confidence
1991-01-19,US Patriot missile batteries deployed to defend Israel,high
1995-10-24,Jerusalem Embassy Act passes both chambers,high
2017-12-06,US recognition of Jerusalem as Israel's capital,high
2018-05-08,US withdrawal from Iran nuclear deal,high
2018-05-14,US embassy opens in Jerusalem,high
2019-03-25,US recognition of Israeli sovereignty over Golan Heights,high
2019-11-18,Pompeo announcement that settlements are not per se illegal,high
2020-01-28,Peace to Prosperity plan released (welcomed by Israel),high
2020-08-13,Abraham Accords announced (Israel-UAE),high
2020-09-15,Abraham Accords signed at White House,high
2023-10-08,US carrier strike group ordered to eastern Mediterranean in support of Israel,high
2023-10-18,Biden wartime solidarity visit to Israel,high
